1622	1622.trycycler.fasta
NCBI_Bagalkot_Xcpunicae	NCBI_Bagalkot_Xcpunicae.fasta
NCBI_BD0022_Xcpunicae	NCBI_BD0022_Xcpunicae.fasta
NCBI_BD0023_Xcpunicae	NCBI_BD0023_Xcpunicae.fasta
NCBI_BD0025_Xcpunicae	NCBI_BD0025_Xcpunicae.fasta
NCBI_BL18_Xcc	NCBI_BL18_Xcc.fasta
NCBI_CCRMXCV117_Xcc	NCBI_CCRMXCV117_Xcc.fasta
NCBI_CCRMXCV17_Xcc	NCBI_CCRMXCV17_Xcc.fasta
NCBI_CCRMXCV80_Xcviticola	NCBI_CCRMXCV80_Xcviticola.fasta
NCBI_CFBP2526_Xcglycine	NCBI_CFBP2526_Xcglycine.fasta
NCBI_CFBP2538_Xcc	NCBI_CFBP2538_Xcc.fasta
NCBI_CFBP2913_Xcanarcadii	NCBI_CFBP2913_Xcanarcadii.fasta
NCBI_CFBP4884_Xcfuscans	NCBI_CFBP4884_Xcfuscans.fasta
NCBI_CFBP4885_Xcfuscans	NCBI_CFBP4885_Xcfuscans.fasta
NCBI_CFBP6165_Xcphaseoli_fuscans	NCBI_CFBP6165_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6165R_Xcfuscans	NCBI_CFBP6165R_Xcfuscans.fasta
NCBI_CFBP6166_Xcphaseoli_fuscans	NCBI_CFBP6166_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6167_Xcphaseoli_fuscans	NCBI_CFBP6167_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6975_Xcphaseoli_fuscans	NCBI_CFBP6975_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6988_Xcfuscans	NCBI_CFBP6988_Xcfuscans.fasta
NCBI_CFBP6988R_Xcphaseoli_fuscans	NCBI_CFBP6988R_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6989_Xcphaseoli_fuscans	NCBI_CFBP6989_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6990_Xcphaseoli_fuscans	NCBI_CFBP6990_Xcphaseoli_var-fuscans.fasta
NCBI_CFBP6991_Xcphaseoli_fuscans	NCBI_CFBP6991_Xcphaseoli_var-fuscans.fasta
